Measure,DimensionName,ColumnName,LoadTime,isMeasureUsedInVisual,ReportName,PageName,VisualName,VisualTitle,Query,hasDimension
Last Refresh Time Ingestion,Stream Name Dimension Ingestion,StreamName,0.016367197037,1,Refresh Tracker (3),Summary Detailed Logs,pivotTable,,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[Stream Name Dimension Ingestion].[StreamName].children} ON 1 FROM [Model]",0
EndTime(MAX),Dataset Refresh History,MappedDatasetName,0.027024984360,1,Refresh Tracker (3),Summary Detailed Logs,tableEx,DC Result,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
CurrentDuration,Dataset Refresh History,MappedDatasetName,0.015673875809,1,Refresh Tracker (3),Summary Detailed Logs,tableEx,DC Result,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
CurrentDatePST,,,0.015673875809,1,Refresh Tracker (3),Summary Detailed Logs,card,,,0
DateShow,Dim2,Mappedcolumns,0.022355079651,1,Refresh Tracker (3),Summary Detailed Logs,pivotTable,,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[Dim2].[Mappedcolumns].children} ON 1 FROM [Model]",0
CurrentStatusLatest Ingestion,-,-,0.002250671387,0,,-,-,-,SELECT [Measures].[CurrentStatusLatest Ingestion] ON 0 FROM [Model],0
CurrentStatus Ingestion,-,-,0.001005411148,0,,-,-,-,SELECT [Measures].[CurrentStatus Ingestion] ON 0 FROM [Model],0
TodaysStatus,-,-,0.002684354782,0,,-,-,-,SELECT [Measures].[TodaysStatus] ON 0 FROM [Model],0
ColorCode_DatasetRefreshHistory,-,-,0.002684354782,0,,-,-,-,SELECT [Measures].[ColorCode_DatasetRefreshHistory] ON 0 FROM [Model],0
CurrentStatus,-,-,0.003303766251,0,,-,-,-,SELECT [Measures].[CurrentStatus] ON 0 FROM [Model],0
NextScheduleRefresh,-,-,0.002380132675,0,,-,-,-,SELECT [Measures].[NextScheduleRefresh] ON 0 FROM [Model],0
CombineStatus,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[CombineStatus] ON 0 FROM [Model],0
ColorCode_SummaryPage,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[ColorCode_SummaryPage] ON 0 FROM [Model],0
LastTimeRefresh(MAX) Ingestion,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[LastTimeRefresh(MAX) Ingestion] ON 0 FROM [Model],0
LastTimeRefresh(MAX),-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[LastTimeRefresh(MAX)] ON 0 FROM [Model],0
ColorCode_BackupPipelinelogs,-,-,0.007518529892,0,,-,-,-,SELECT [Measures].[ColorCode_BackupPipelinelogs] ON 0 FROM [Model],0
NextScheduleRefreshIngestion,-,-,0.007518529892,0,,-,-,-,SELECT [Measures].[NextScheduleRefreshIngestion] ON 0 FROM [Model],0
MetaCurrentStatus(MAX),-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[MetaCurrentStatus(MAX)] ON 0 FROM [Model],0
MetaCombineStatus,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[MetaCombineStatus] ON 0 FROM [Model],0
MetaCombineDate,-,-,0.005375862122,0,,-,-,-,SELECT [Measures].[MetaCombineDate] ON 0 FROM [Model],0
LastTimeRefresh(MAX) IN,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[LastTimeRefresh(MAX) IN] ON 0 FROM [Model],0
DateShow Ingestion,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[DateShow Ingestion] ON 0 FROM [Model],0
ColorCode_SummaryPage Ingestion Framework,-,-,0.000000000000,0,,-,-,-,SELECT [Measures].[ColorCode_SummaryPage Ingestion Framework] ON 0 FROM [Model],0
DateShow,Stream Name Dimension,StreamNameOrder,0.005242347717,0,-,-,-,-,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
CurrentStatus(MAX),Stream Name Dimension,StreamNameOrder,0.005242347717,0,-,-,-,-,"SELECT {[Measures].[CurrentStatus(MAX)]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
NextScheduleRefresh,Stream Name Dimension,StreamNameOrder,0.005506753922,0,-,-,-,-,"SELECT {[Measures].[NextScheduleRefresh]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
CombineStatus,Stream Name Dimension,StreamNameOrder,0.005506753922,0,-,-,-,-,"SELECT {[Measures].[CombineStatus]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
CombineDate,Stream Name Dimension,StreamNameOrder,0.005506753922,0,-,-,-,-,"SELECT {[Measures].[CombineDate]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
ColorCode_SummaryPage,Stream Name Dimension,StreamNameOrder,0.004634857178,0,-,-,-,-,"SELECT {[Measures].[ColorCode_SummaryPage]} ON 0 ,NON EMPTY{[Stream Name Dimension].[StreamNameOrder].children} ON 1 FROM [Model]",1
