Measure,DimensionName,ColumnName,LoadTime,isMeasureUsedInVisual,ReportName,PageName,VisualName,VisualTitle,Query,hasDimension
CurrentDuration,Dataset Refresh History,MappedDatasetName,0.279779672623,1,Refresh Tracker (3),Dataset Logs,tableEx,Controllable On-Time Performance for:,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
Last Refresh Time Ingestion,meta PipelineExecutionLogs,Stage Name,0.273612260818,1,Refresh Tracker (3),Summary Detailed Logs,pivotTable,,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[meta PipelineExecutionLogs].[Stage Name].children} ON 1 FROM [Model]",0
EndTime(MAX),Dataset Refresh History,MappedDatasetName,0.269986629486,1,Refresh Tracker (3),Summary Detailed Logs,tableEx,DC Result,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
CurrentDuration,Dataset Refresh History,MappedDatasetName,0.267678260803,1,Refresh Tracker (3),Summary Detailed Logs,tableEx,DC Result,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
DateShow,pipelineexecutionlogs,StageName,0.267494440079,1,Refresh Tracker (3),Summary Detailed Logs,pivotTable,,"SELECT {[Measures].[DateShow]} ON 0 ,NON EMPTY{[pipelineexecutionlogs].[StageName].children} ON 1 FROM [Model]",0
CurrentDuration,Dataset Refresh History,MappedDatasetName,0.273218154907,1,Refresh Tracker (3) - Copy - for testing,Dataset Logs,tableEx,Controllable On-Time Performance for:,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
Last Refresh Time Ingestion,meta PipelineExecutionLogs,Stage Name,0.271190166473,1,Refresh Tracker (3) - Copy - for testing,Summary Detailed Logs,pivotTable,,"SELECT {[Measures].[Last Refresh Time Ingestion]} ON 0 ,NON EMPTY{[meta PipelineExecutionLogs].[Stage Name].children} ON 1 FROM [Model]",0
EndTime(MAX),Dataset Refresh History,MappedDatasetName,0.271387100220,1,Refresh Tracker (3) - Copy - for testing,Summary Detailed Logs,tableEx,DC Result,"SELECT {[Measures].[EndTime(MAX)]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
CurrentDuration,Dataset Refresh History,MappedDatasetName,0.273739576340,1,Refresh Tracker (3) - Copy - for testing,Summary Detailed Logs,tableEx,DC Result,"SELECT {[Measures].[CurrentDuration]} ON 0 ,NON EMPTY{[Dataset Refresh History].[MappedDatasetName].children} ON 1 FROM [Model]",0
CurrentDatePST,,,0.257026672363,1,Refresh Tracker (3) - Copy - for testing,Summary Detailed Logs,card,,,0
CurrentStatusLatest Ingestion,-,-,0.268650054932,0,,-,-,-,SELECT [Measures].[CurrentStatusLatest Ingestion] ON 0 FROM [Model],0
CurrentStatus Ingestion,-,-,0.346905469894,0,,-,-,-,SELECT [Measures].[CurrentStatus Ingestion] ON 0 FROM [Model],0
TodaysStatus,-,-,0.251093864441,0,,-,-,-,SELECT [Measures].[TodaysStatus] ON 0 FROM [Model],0
