,TableName,TableID,ColumnName,ColumnID,ValuesQuery,ID
0,Pipeline Execution Logs(BackUp),75767,StreamName,75776,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[StreamName].[StreamName].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],1
1,Pipeline Execution Logs(BackUp),75767,PipelineName,75777,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[PipelineName].[PipelineName].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],2
2,Pipeline Execution Logs(BackUp),75767,LastStatus,75778,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[LastStatus].[LastStatus].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],3
3,Pipeline Execution Logs(BackUp),75767,LastUpdated,75779,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[LastUpdated].[LastUpdated].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],4
4,Pipeline Execution Logs(BackUp),75767,StageName,75780,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[StageName].[StageName].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],5
5,Pipeline Execution Logs(BackUp),75767,LastTimeRefresh,75781,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[LastTimeRefresh].[LastTimeRefresh].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],6
6,Pipeline Execution Logs(BackUp),75767,LastRefreshDate,77919,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[LastRefreshDate].[LastRefreshDate].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],7
7,Pipeline Execution Logs(BackUp),75767,RefreshTime(UTC),77941,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[RefreshTime(UTC)].[RefreshTime(UTC)].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],8
8,Pipeline Execution Logs(BackUp),75767,RefreshTime(PST),77952,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[RefreshTime(PST)].[RefreshTime(PST)].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],9
9,Pipeline Execution Logs(BackUp),75767,MappedColumn,77975,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[MappedColumn].[MappedColumn].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],10
10,Pipeline Execution Logs(BackUp),75767,DateLastUpdate,78000,WITH MEMBER [Measures].[Count] AS [Pipeline Execution Logs(BackUp)].[DateLastUpdate].[DateLastUpdate].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],11
11,Dataset Refresh History,75770,DatasetName,75783,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[DatasetName].[DatasetName].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],12
12,Dataset Refresh History,75770,Date(Slicer),77412,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[Date(Slicer)].[Date(Slicer)].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],13
13,Dataset Refresh History,75770,Duration,77608,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[Duration].[Duration].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],14
14,Dataset Refresh History,75770,EndTime(PST),77835,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[EndTime(PST)].[EndTime(PST)].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],15
15,Dataset Refresh History,75770,StartTime(PST),77846,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[StartTime(PST)].[StartTime(PST)].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],16
16,Dataset Refresh History,75770,ID,82443,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[ID].[ID].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],17
17,Dataset Refresh History,75770,StartTime,82451,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[StartTime].[StartTime].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],18
18,Dataset Refresh History,75770,EndTime,82459,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[EndTime].[EndTime].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],19
19,Dataset Refresh History,75770,RefreshType,82467,WITH MEMBER [Measures].[Count] AS [Dataset Refresh History].[RefreshType].[RefreshType].Count SELECT {[Measures].[Count]} ON COLUMNS  FROM [Model],20
